query_id,corpus_id
qd2ac917a,dd2acce74
qd2ac917a,dd2ac8f0e
qd2ac917a,dd2acd630
qd2ac917a,dd2ac8626
qd2ac917a,dd2ac55e8
qd2ac917a,dd2ad3ecc
qd2ac917a,dd2abf562
qd2ac917a,dd2ac410c
qd2ac917a,dd2b16ef2
qd2ac917a,dd2ac1c4a
qd2aeff00,dd2af0432
qd2aeff00,dd2acce74
qd2aeff00,dd2ac8f0e
qd2aeff00,dd2acd630
qd2aeff00,dd2ac55e8
qd2aeff00,dd2abdf28
qd2aeff00,dd2abde92
qd2aeff00,dd2ac410c
qd2aeff00,dd2abccf4
qd2aeff00,dd2abfada
qd2acfe6c,dd2acdc52
qd2acfe6c,dd2acffb6
qd2acfe6c,dd2acf692
qd2acfe6c,dd2ac6718
qd2acfe6c,dd2acf638
qd2acfe6c,dd2acf0f2
qd2acfe6c,dd2ace5a8
qd2acfe6c,dd2acf5c0
qd2acfe6c,dd2acfb9c
qd2acfe6c,dd2acf912
qd2ad28d8,dd2ad29c8
qd2ad28d8,dd2ac58e0
qd2ad28d8,dd2ad469c
qd2ad28d8,dd2abfada
qd2ad28d8,dd2ac23fc
qd2ad28d8,dd2ae98d0
qd2ad28d8,dd2ac55e8
qd2ad28d8,dd2ac07e6
qd2ad28d8,dd2ad7824
qd2ad28d8,dd2ad741e
qd2ac61e6,dd2ac62ae
qd2ac61e6,dd2b17c3a
qd2ac61e6,dd2acd630
qd2ac61e6,dd2abd7b2
qd2ac61e6,dd2ad88d2
qd2ac61e6,dd2ac2140
qd2ac61e6,dd2ad7e46
qd2ac61e6,dd2ac5eb2
qd2ac61e6,dd2ac4ef4
qd2ac61e6,dd2ac2dac
qd2acf836,dd2acf912
qd2acf836,dd2acdc52
qd2acf836,dd2ace5a8
qd2acf836,dd2acfb9c
qd2acf836,dd2acf5c0
qd2acf836,dd2acf692
qd2acf836,dd2acf0f2
qd2acf836,dd2acffb6
qd2acf836,dd2acf638
qd2acf836,dd2ac1056
qd2abf012,dd2abf562
qd2abf012,dd2abf0b2
qd2abf012,dd2abfb48
qd2abf012,dd2abf4f4
qd2abf012,dd2ac55e8
qd2abf012,dd2abbe1c
qd2abf012,dd2ac1664
qd2abf012,dd2abfada
qd2abf012,dd2ac5bec
qd2abf012,dd2ad1ec4
qd2abbd7c,dd2abb8b8
qd2abbd7c,dd2abb3e0
qd2abbd7c,dd2abc858
qd2abbd7c,dd2abccf4
qd2abbd7c,dd2abbe8a
qd2abbd7c,dd2abc54c
qd2abbd7c,dd2abbe1c
qd2abbd7c,dd2abbef8
qd2abbd7c,dd2abc27c
qd2abbd7c,dd2acce74
qd2adb780,dd2adb8d4
qd2adb780,dd2adb5be
qd2adb780,dd2afb88c
qd2adb780,dd2afdaa6
qd2adb780,dd2add242
qd2adb780,dd2ac5eb2
qd2adb780,dd2ad9520
qd2adb780,dd2ac1056
qd2adb780,dd2adc4fa
qd2adb780,dd2ac55e8
qd2ade0e8,dd2ac410c
qd2ade0e8,dd2abfada
qd2ade0e8,dd2ac1056
qd2ade0e8,dd2abd17c
qd2ade0e8,dd2ae98d0
qd2ade0e8,dd2abde92
qd2ade0e8,dd2ac43f0
qd2ade0e8,dd2ac58e0
qd2ade0e8,dd2ac07e6
qd2ade0e8,dd2aded90
qd2adc6da,dd2adc82e
qd2adc6da,dd2adcc02
qd2adc6da,dd2add242
qd2adc6da,dd2adc4fa
qd2adc6da,dd2add62a
qd2adc6da,dd2abbe8a
qd2adc6da,dd2ad469c
qd2adc6da,dd2abfada
qd2adc6da,dd2ac23fc
qd2adc6da,dd2af0432
qd2ae6158,dd2ae4f06
qd2ae6158,dd2ae3eda
qd2ae6158,dd2ae3dfe
qd2ae6158,dd2ae654a
qd2ae6158,dd2ae0e2e
qd2ae6158,dd2ae7076
qd2ae6158,dd2ae717a
qd2ae6158,dd2ae6e5a
qd2ae6158,dd2ae790e
qd2ae6158,dd2ac1a1a
qd2ae56fe,dd2ae654a
qd2ae56fe,dd2ae7076
qd2ae56fe,dd2ae3eda
qd2ae56fe,dd2ae3dfe
qd2ae56fe,dd2ae5e24
qd2ae56fe,dd2ae717a
qd2ae56fe,dd2ae0e2e
qd2ae56fe,dd2ae4f06
qd2ae56fe,dd2ae6e5a
qd2ae56fe,dd2ae790e
qd2addac6,dd2addc24
qd2addac6,dd2addca6
qd2addac6,dd2ae4f06
qd2addac6,dd2b05170
qd2addac6,dd2af541e
qd2addac6,dd2abf562
qd2addac6,dd2acce74
qd2addac6,dd2ad662c
qd2addac6,dd2ad3ecc
qd2addac6,dd2ada466
qd2af58c4,dd2af5afe
qd2af58c4,dd2af679c
qd2af58c4,dd2af432a
qd2af58c4,dd2af41e0
qd2af58c4,dd2af0c8e
qd2af58c4,dd2af6f08
qd2af58c4,dd2af3272
qd2af58c4,dd2ac1056
qd2af58c4,dd2ad12e4
qd2af58c4,dd2aef640
qd2ac8e0a,dd2ac8f0e
qd2ac8e0a,dd2acce74
qd2ac8e0a,dd2acd630
qd2ac8e0a,dd2abfada
qd2ac8e0a,dd2aeb658
qd2ac8e0a,dd2abd17c
qd2ac8e0a,dd2ac58e0
qd2ac8e0a,dd2ac23fc
qd2ac8e0a,dd2ac43f0
qd2ac8e0a,dd2ac07e6
qd2b05f08,dd2b03604
qd2b05f08,dd2b02da8
qd2b05f08,dd2b05170
qd2b05f08,dd2adc054
qd2b05f08,dd2b059ae
qd2b05f08,dd2b01854
qd2b05f08,dd2ad9520
qd2b05f08,dd2ad692e
qd2b05f08,dd2abc27c
qd2b05f08,dd2ac285c
qd2adca40,dd2adc82e
qd2adca40,dd2add62a
qd2adca40,dd2adcc02
qd2adca40,dd2adc4fa
qd2adca40,dd2add242
qd2adca40,dd2abccf4
qd2adca40,dd2acf912
qd2adca40,dd2abc54c
qd2adca40,dd2ae717a
qd2adca40,dd2acf692
qd2af2e3a,dd2af432a
qd2af2e3a,dd2af0c8e
qd2af2e3a,dd2af3272
qd2af2e3a,dd2af41e0
qd2af2e3a,dd2ac55e8
qd2af2e3a,dd2af541e
qd2af2e3a,dd2af679c
qd2af2e3a,dd2af6f08
qd2af2e3a,dd2af5afe
qd2af2e3a,dd2ac1664
qd2af4a50,dd2af5afe
qd2af4a50,dd2af679c
qd2af4a50,dd2af6f08
qd2af4a50,dd2af541e
qd2af4a50,dd2af0c8e
qd2af4a50,dd2af41e0
qd2af4a50,dd2af432a
qd2af4a50,dd2af3272
qd2af4a50,dd2af293a
qd2af4a50,dd2af18f0
qd2b12b72,dd2b0b110
qd2b12b72,dd2b13658
qd2b12b72,dd2b137de
qd2b12b72,dd2b1453a
qd2b12b72,dd2ac1056
qd2b12b72,dd2b08d20
qd2b12b72,dd2b07a56
qd2b12b72,dd2ac8626
qd2b12b72,dd2ac43f0
qd2b12b72,dd2ac410c
qd2abe6b2,dd2abe7ca
qd2abe6b2,dd2abedc4
qd2abe6b2,dd2abdf28
qd2abe6b2,dd2abea5e
qd2abe6b2,dd2abe752
qd2abe6b2,dd2abde92
qd2abe6b2,dd2abe20c
qd2abe6b2,dd2acd630
qd2abe6b2,dd2ac2dac
qd2abe6b2,dd2acce74
qd2adba1e,dd2adb8d4
qd2adba1e,dd2adb5be
qd2adba1e,dd2ac5eb2
qd2adba1e,dd2afdaa6
qd2adba1e,dd2ad88d2
qd2adba1e,dd2acd630
qd2adba1e,dd2ac2dac
qd2adba1e,dd2ac1056
qd2adba1e,dd2abb3e0
qd2adba1e,dd2ad12e4
qd2adc342,dd2add242
qd2adc342,dd2adc4fa
qd2adc342,dd2ac285c
qd2adc342,dd2adcc02
qd2adc342,dd2adc82e
qd2adc342,dd2ace5a8
qd2adc342,dd2ac8626
qd2adc342,dd2ac4ef4
qd2adc342,dd2ac4e7c
qd2adc342,dd2ad88d2
qd2ac019c,dd2abff58
qd2ac019c,dd2ac04a8
qd2ac019c,dd2abffc6
qd2ac019c,dd2ac410c
qd2ac019c,dd2ac285c
qd2ac019c,dd2ac55e8
qd2ac019c,dd2ac32b6
qd2ac019c,dd2ac8626
qd2ac019c,dd2acce74
qd2ac019c,dd2af6f08
qd2ac297e,dd2ac2a28
qd2ac297e,dd2ac285c
qd2ac297e,dd2ac32b6
qd2ac297e,dd2ac2140
qd2ac297e,dd2ac2dac
qd2ac297e,dd2ac30ea
qd2ac297e,dd2ac20d2
qd2ac297e,dd2ac262c
qd2ac297e,dd2ac23fc
qd2ac297e,dd2abc54c
qd2b0876c,dd2b08d20
qd2b0876c,dd2b0b110
qd2b0876c,dd2b13658
qd2b0876c,dd2b1453a
qd2b0876c,dd2b137de
qd2b0876c,dd2b08bc2
qd2b0876c,dd2abfada
qd2b0876c,dd2af0432
qd2b0876c,dd2ac1056
qd2b0876c,dd2ac23fc
qd2abb228,dd2abbe1c
qd2abb228,dd2abb8b8
qd2abb228,dd2abbe8a
qd2abb228,dd2abc858
qd2abb228,dd2abb3e0
qd2abb228,dd2abbef8
qd2abb228,dd2abccf4
qd2abb228,dd2ad3ecc
qd2abb228,dd2ac55e8
qd2abb228,dd2abc27c
qd2ad86c0,dd2ac410c
qd2ad86c0,dd2ac2140
qd2ad86c0,dd2abb3e0
qd2ad86c0,dd2abd7b2
qd2ad86c0,dd2ac4ef4
qd2ad86c0,dd2aef640
qd2ad86c0,dd2aeab5e
qd2ad86c0,dd2ac62ae
qd2ad86c0,dd2b17c3a
qd2ad86c0,dd2ac49a4
qd2acde96,dd2acf692
qd2acde96,dd2acf0f2
qd2acde96,dd2acffb6
qd2acde96,dd2ace5a8
qd2acde96,dd2acf5c0
qd2acde96,dd2acf638
qd2acde96,dd2ac32b6
qd2acde96,dd2acdc52
qd2acde96,dd2ac285c
qd2acde96,dd2ad3ecc
qd2ad110e,dd2ad12e4
qd2ad110e,dd2ad05a6
qd2ad110e,dd2ad061e
qd2ad110e,dd2ad1262
qd2ad110e,dd2ad0b46
qd2ad110e,dd2af432a
qd2ad110e,dd2ac410c
qd2ad110e,dd2af41e0
qd2ad110e,dd2ad662c
qd2ad110e,dd2af0c8e
qd2abc7c2,dd2abccf4
qd2abc7c2,dd2abbe1c
qd2abc7c2,dd2abc54c
qd2abc7c2,dd2abb8b8
qd2abc7c2,dd2abb3e0
qd2abc7c2,dd2abbe8a
qd2abc7c2,dd2abc858
qd2abc7c2,dd2abc27c
qd2abc7c2,dd2abbef8
qd2abc7c2,dd2abca56
qd2acf4d0,dd2acdc52
qd2acf4d0,dd2acf5c0
qd2acf4d0,dd2acf0f2
qd2acf4d0,dd2acffb6
qd2acf4d0,dd2ace5a8
qd2acf4d0,dd2acf912
qd2acf4d0,dd2acf638
qd2acf4d0,dd2acf692
qd2acf4d0,dd2acfb9c
qd2acf4d0,dd2aced14
qd2b0536e,dd2b059ae
qd2b0536e,dd2b03604
qd2b0536e,dd2b02da8
qd2b0536e,dd2b05170
qd2b0536e,dd2ac8626
qd2b0536e,dd2b01854
qd2b0536e,dd2ac1056
qd2b0536e,dd2ad692e
qd2b0536e,dd2ac62ae
qd2b0536e,dd2adb8d4
qd2abed24,dd2abdf28
qd2abed24,dd2abe7ca
qd2abed24,dd2abedc4
qd2abed24,dd2abde92
qd2abed24,dd2abe752
qd2abed24,dd2abe20c
qd2abed24,dd2acd630
qd2abed24,dd2ac2dac
qd2abed24,dd2abea5e
qd2abed24,dd2ac49a4
qd2abb7e6,dd2abfada
qd2abb7e6,dd2ac58e0
qd2abb7e6,dd2ac23fc
qd2abb7e6,dd2ad1a32
qd2abb7e6,dd2af0432
